Target,RFMS_Cluster,CustomerId
1,0,CustomerId_1762
1,0,CustomerId_1197
1,0,CustomerId_4537
1,0,CustomerId_3242
1,0,CustomerId_3251
0,1,CustomerId_1694
1,0,CustomerId_2989
0,1,CustomerId_2941
1,0,CustomerId_2933
1,0,CustomerId_5152
0,1,CustomerId_682
1,0,CustomerId_916
1,0,CustomerId_4732
0,1,CustomerId_2062
0,1,CustomerId_969
1,0,CustomerId_4051
1,0,CustomerId_2565
1,0,CustomerId_3521
1,0,CustomerId_1442
0,1,CustomerId_1438
1,0,CustomerId_3041
1,0,CustomerId_4206
0,1,CustomerId_3820
1,0,CustomerId_4131
0,1,CustomerId_4201
1,0,CustomerId_2335
1,0,CustomerId_7470
1,0,CustomerId_4544
1,0,CustomerId_2836
0,1,CustomerId_1860
1,0,CustomerId_4338
1,0,CustomerId_480
1,0,CustomerId_2327
1,0,CustomerId_466
1,0,CustomerId_1466
1,0,CustomerId_703
1,0,CustomerId_3708
0,1,CustomerId_3818
1,0,CustomerId_1903
0,1,CustomerId_2233
1,0,CustomerId_1125
1,0,CustomerId_2628
1,0,CustomerId_1753
1,0,CustomerId_558
1,0,CustomerId_3398
0,1,CustomerId_4569
1,0,CustomerId_1191
1,0,CustomerId_3149
1,0,CustomerId_5060
1,0,CustomerId_506
1,0,CustomerId_1208
1,0,CustomerId_2543
1,0,CustomerId_1307
1,0,CustomerId_2286
1,0,CustomerId_4740
0,1,CustomerId_1750
0,1,CustomerId_3075
1,0,CustomerId_1613
1,0,CustomerId_867
1,0,CustomerId_1653
1,0,CustomerId_764
1,0,CustomerId_1092
0,1,CustomerId_4585
1,0,CustomerId_4304
1,0,CustomerId_2810
1,0,CustomerId_2223
0,1,CustomerId_3745
0,1,CustomerId_4153
1,0,CustomerId_5177
1,0,CustomerId_2720
1,0,CustomerId_2407
1,0,CustomerId_2432
1,0,CustomerId_5248
1,0,CustomerId_3459
1,0,CustomerId_4144
1,0,CustomerId_2445
1,0,CustomerId_2456
1,0,CustomerId_4005
0,1,CustomerId_4898
1,0,CustomerId_3545
